Episode Number,URL,Notes ,Live ID (Live Streaming),Media ID (VOD),Title,Description,Tags,Sponsor,Streaming?,Talent,Moderator,Session Start Time,Session End Time,O&O Plays,O&O Uniques,O&O Completes,O&O Time (hours),O&O AVG Time Per Viewer (sec)
,https://www.essence.com/video/livestream-beautycon-essencefest-edition-day-3/,,BEAUTYCON™: @ESSENCEFEST Edition,,,,,,,,,,,,,,,
1,,,,,SUNDAY,,"#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,,,,,,,
2,https://www.essence.com/video/dj/,,,,DJ,,"#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,5/7/2026 10:00,5/7/2026 10:15,,,,,
3,,,,,Amazon Sponsored,,"#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,,,,,,,
,https://www.essence.com/video/behind-the-brand-ft-hannahanna-beauty/,,,,Behind the Brand ft. Hannahanna Beauty,Join Essence Beauty Editor Akili King and the founder of Hanahana beauty for a deep dive on beauty entrepreneurship.,,,Streaming & VOD,,,5/7/2026 11:00,5/7/2026 11:20,,,,,
4,https://www.essence.com/video/in-the-lab-ft-mielle-organics/,,,,In The Lab ft. Mielle Organics,"Real talk from the people behind your favorite brands. Founders, formulators, beauty pros.No filter, no fluff.","#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,5/7/2026 11:30,5/7/2026 11:50,,,,,
5,https://www.essence.com/?post_type=video&p=1059085,,,,Beauty Feud Interstitials #3,"5 minute on stage audience participation games. Where they can win prizes, gifts and discounts to our partners products.
#3- Beauty/Essence Trivia - Which celebrity has been on the most ESSENCE Covers etc.
","#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,5/7/2026 12:00,5/7/2026 12:05,,,,,
6,https://www.essence.com/wp-admin/post.php?post=1059706&action=edit,,,,Beauty University: Nail Masterclass by Dawn Sterling,A masterclass in red-carpet level nails hosted by Celebrity nail artist Dawn Sterling,"#EFOC2026, #BC, #BC0705",,Streaming & VOD,Coree Moreno + Hair Model,,5/7/2026 12:10,5/7/2026 12:45,,,,,
7,https://www.essence.com/wp-admin/post.php?post=1060530&action=edit,,,,Kiera Moment,DJ,"#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,5/7/2026 13:00,5/7/2026 13:35,,,,,
8,https://www.essence.com/video/find-your-voice-a-communication-clinic-by-eni-papoola/,,,,Find Your Voice: a Communication Clinic by Eni Papoola,"We all have something to saY, but communicating it clearly and confidently is a skill. Join creator Eni Papoola for a hands-on clinic designed to help you articulate your ideas with the clarity and magnetism of a content creator. Whether you're navigating the boardroom, the group chat, or your own household, walk away with tools that make people stop, listen, and take action.","#EFOC2026, #BC, #BC0705",,Streaming & VOD,"Eni Papoola, Sophia Dennis (Moderator)",,5/7/2026 13:25,5/7/2026 13:55,,,,,
9,https://www.essence.com/video/beauty-university-styling-masterclass-with-bryon-javar/,Potentially sponsored- Waiting for sponsor info,,,Beauty University: Styling Masterclass with Bryon Javar,"The man behind the looks of Marsai Martin and Chloe Bailey stylist Bryon Javar brings his signature eye to the Essence Fest stage for an interactive style clinic that goes beyond the clothes. Learn how to identify the colors, silhouettes, and pieces that work for your lifestyle and your life.","#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,5/7/2026 14:00,5/7/2026 14:30,,,,,
10,https://www.essence.com/wp-admin/post.php?post=1060921&action=edit,,,,Face Off:,"Professional stylists will go head to head to replicate an iconic beauty look- a few lucky audience members will be chosen to hit the stage and recreate an iconic makeup look inspired by our event theme. Guided by our celebrity makeup artist and fueled by a make up brand sponsor with pro-level products, contestants will have a set amount of time to complete their look live on stage. Once the brushes are down, the audience decides the winner — cheering loudest for their favorite transformation. -- can be tied to TOTR
","#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,,,,,,,
11,https://www.essence.com/wp-admin/post.php?post=1060925&action=edit,,,,Passion to Profit ft. Kim Kimble,"This is your rare opportunity to hear directly from one of the most influential hairstylists and beauty entrepreneurs in the world — unfiltered, up close, and in conversation with Kim Kimble.","#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,,,,,,,
