Episode Number,URL,Notes ,Live ID (Live Streaming),Media ID (VOD),Title,Description,Tags,Sponsor,Streaming?,Talent,Moderator,Session Start Time,Session End Time,O&O Plays,O&O Uniques,O&O Completes,O&O Time (hours),O&O AVG Time Per Viewer (sec)
,https://www.essence.com/wp-admin/post.php?post=1057996&action=edit,,BEAUTYCON™: @ESSENCEFEST Edition,,,,,,,,,,,,,,,
1,,,,,FRIDAY,,"#EFOC2026, #BC, #BC0703",,Streaming & VOD,,,,,,,,,
2,,,,,DJ,,"#EFOC2026, #BC, #BC0703",,Streaming & VOD,,,3/7/2026 10:00,3/7/2026 10:15,,,,,
3,https://www.essence.com/wp-admin/post.php?post=1057407&action=edit,,,xal6832,The State of Beauty,"Beauty is a movement. A statement. A form of resistance. This conversation brings together the boldest voices at the intersection of beauty, society, and social change, exploring how the industry has been shaped by politics, and how it's shaping the world right back.","#EFOC2026, #BC, #BC0703",,Streaming & VOD,Hope Gisele Godsy + Erika Hart,,3/7/2026 10:30,3/7/2026 11:00,,,,,
4,https://www.essence.com/wp-admin/post.php?post=1059287&action=edit,,,xal67ny,Amazon: Summer Beauty Breakdown,"Summer beauty is a high-intent shopping category, with customers actively seeking products that perform in heat, humidity, and sun. Blake Newby, a trusted beauty voice, will curate a comprehensive summer beauty breakdown—giving customers a one-stop shopping experience for their seasonal needs.","#EFOC2026, #BC, #BC0703",,Streaming & VOD,[SPONSORED],,3/7/2026 11:15,3/7/2026 11:35,,,,,
5,https://www.essence.com/wp-admin/post.php?post=1059327&action=edit,,,,Between Us Curls ft. Ava Pearl and Eva Marcille,"From childhood hair memories to building communities that celebrate textured hair, Eva Marcille, Ava Pearl Rogers, and Akili King discuss how curls, coils, and natural textures have shaped their confidence, careers, and sense of self. As CurlyCon LA expands to Beautycon LA this year, the conversation reflects on the growth of the textured hair movement, the importance of representation, and why hair remains one of the most powerful expressions of culture and identity.
","#EFOC2026, #BC, #BC0703",,Streaming & VOD,[SPONSORED],,3/7/2026 11:40,3/7/2026 12:00,,,,,
6,https://www.essence.com/wp-admin/post.php?post=1058118&action=edit,,,xal7ota,Beauty University: Finding Your Undertones Make Up Masterclass,"The foundation of every flawless look starts with one thing knowing your undertone. This masterclass will teach you how to find your undertones, how they effect your lip colors, blushes and bronzers and how to adjust your products to better fit your complexion.","#EFOC2026, #BC, #BC0703",,Streaming & VOD,Painted By Ester + On Stage Model,,3/7/2026 12:05,3/7/2026 12:45,,,,,
7,https://www.essence.com/wp-admin/post.php?post=1058134&action=edit,,,,Beauty Feud Interstitials #1," 5 minute on stage audience participation games. Where they can win prizes, gifts and discounts to our partners products. Beauty pop quizzes. 

Beauty quiz hosted by Brooke ","#EFOC2026, #BC, #BC0703",,Streaming & VOD,,,3/7/2026 12:50,3/7/2026 12:55,,,,,
8,https://www.essence.com/wp-admin/post.php?post=1058399&action=edit,,,,Podcast w Latto Naked Beauty,"Twin flames, dynamic duos and besties across domains  dish on how they elevate each other  and take their friendship and bank accounts to new heights.","#EFOC2026, #BC, #BC0703",,Streaming & VOD,Latto,,3/7/2026 13:00,3/7/2026 13:20,,,,,
9,https://www.essence.com/wp-admin/post.php?post=1060842&action=edit,,,,From Reality to Beauty,"They captured our hearts on screen and then they captured the beauty industry. Kandi Burruss sits down for an unfiltered conversation on what it really takes to translate fame, hustle, and vision into beauty empires that last.","#EFOC2026, #BC, #BC0703",,Streaming & VOD,,,3/7/2026 13:25,3/7/2026 13:55,,,,,
10,https://www.essence.com/wp-admin/post.php?post=1058390&action=edit,,,xal7uv6,Beauty University Masterclass ft. Kahh Spence,"Join founder and beauty expert Kah Spence for and intimate masterclass.This would be a guided experience that answers the question: What are you really here to do? Whether you're at a crossroads, starting over, or simply searching for something more.","#EFOC2026, #BC, #BC0703",,Streaming & VOD,,,3/7/2026 14:00,3/7/2026 14:35,,,,,
11,https://www.essence.com/wp-admin/post.php?post=1058396&action=edit,,,xal7vay,Find Your Angle: Britany Hayles,"The camera is ready... are you? Whether you're snapping content, walking into a room, or just want to feel good in your own skin, this posing clinic will teach you how to own every angle. Learn the tips and tricks that photographers and influencers swear by, and walk away knowing exactly how to show up and show out in photos and in life.","#EFOC2026, #BC, #BC0703",,Streaming & VOD,Adrienne Racquel,,3/7/2026 14:40,3/7/2026 15:00,,,,,
12,https://www.essence.com/wp-admin/post.php?post=1060457&action=edit,,,,Buy Black Beauty,"Consumers increasingly want to support Black-owned
businesses, but discovery remains a barrier. This stream solves that problem by
showcasing Black-owned beauty brands, telling their stories, and making it easy to shop their products. In this stream Blake Newby will share some well known and
unknown beauty brands and products that are black-owned.",,,Streaming & VOD,,,3/7/2026 15:05,3/7/2026 15:25,,,,,
